room1,dist,room2
C014__-1,4.4e-05,C012__-1
C014__-1,9.3e-05,C015__-1
C015__-1,9.3e-05,C014__-1
C015__-1,4.5e-05,C016__-1
C016__-1,4.5e-05,C015__-1
C016__-1,4.9e-05,C017__-1
C017__-1,4.9e-05,C016__-1
C017__-1,5.2e-05,C018__-1
C018__-1,5.2e-05,C017__-1
C102__+1,0.0001,C103__+1
C103__+1,0.0001,C102__+1
C103__+1,0.000111,C104__+1
C103__+1,8.7e-05,C105__+1
C104__+1,0.000111,C103__+1
C105__+1,8.7e-05,C103__+1
C106__+1,0.000106,C001__+1
C106__+1,0.000181,C107__+1
C106__+1,0.000137,C109__+1
C106__+1,9.8e-05,C110__+1
C106__+1,9.9e-05,C111__+1
C106__+1,0.000101,C112__+1
C106__+1,0.000217,C114__+1
C106__+1,0.000222,extra_450_308__+1
C106__+1,0.000354,extra_486_308__+1
C107__+1,0.000181,C106__+1
C107__+1,0.000181,C108__+1
C107__+1,8.5e-05,C112__+1
C107__+1,0.000104,C113__+1
C107__+1,0.000111,E102__+1
C108__+1,0.000181,C107__+1
C108__+1,0.000299,G101__+1
C109.1__+1,5.4e-05,C109__+1
C109.2__+1,5.8e-05,C109__+1
C109.3__+1,5.1e-05,C109__+1
C109__+1,0.000137,C106__+1
C109__+1,5.4e-05,C109.1__+1
C109__+1,5.8e-05,C109.2__+1
C109__+1,5.1e-05,C109.3__+1
C110__+1,9.8e-05,C106__+1
C110__+1,5.4e-05,C230__+2
C111__+1,9.9e-05,C106__+1
C112__+1,0.000101,C106__+1
C112__+1,8.5e-05,C107__+1
C113.1__+1,1.5e-05,C113__+1
C113__+1,0.000104,C107__+1
C113__+1,1.5e-05,C113.1__+1
C114.1__+1,6.6e-05,C114__+1
C114.2__+1,8.4e-05,C114__+1
C114.3__+1,4.2e-05,C114__+1
C114.3__+1,4e-05,C115__+1
C114__+1,0.000217,C106__+1
C114__+1,6.6e-05,C114.1__+1
C114__+1,8.4e-05,C114.2__+1
C114__+1,4.2e-05,C114.3__+1
C114__+1,8.1e-05,C115__+1
C114__+1,7.5e-05,C116__+1
C114__+1,9.4e-05,extra_450_308__+1
C115__+1,4e-05,C114.3__+1
C115__+1,8.1e-05,C114__+1
C116__+1,7.5e-05,C114__+1
C116__+1,0.00012,C117__+1
C117__+1,0.00012,C116__+1
C117__+1,9e-05,C118__+1
C118__+1,9e-05,C117__+1
C118__+1,9.8e-05,C120__+1
C120__+1,9.8e-05,C118__+1
C120__+1,8.9e-05,C121__+1
C120__+1,5.3e-05,C122__+1
C120__+1,0.000107,C123__+1
C120__+1,0.000128,C126__+1
C121.1__+1,2.3e-05,C121__+1
C121__+1,8.9e-05,C120__+1
C121__+1,2.3e-05,C121.1__+1
C122.1__+1,2.4e-05,C122__+1
C122.2__+1,1e-05,C122.3__+1
C122.2__+1,2.4e-05,C122__+1
C122.3__+1,1e-05,C122.2__+1
C122__+1,5.3e-05,C120__+1
C122__+1,2.4e-05,C122.1__+1
C122__+1,2.4e-05,C122.2__+1
C123__+1,0.000107,C120__+1
C123__+1,0.000126,C124__+1
C123__+1,8e-05,C126__+1
C123__+1,0.000215,C127__+1
C124__+1,0.000126,C123__+1
C126__+1,0.000128,C120__+1
C126__+1,8e-05,C123__+1
C127.1__+1,7.6e-05,C127__+1
C127__+1,0.000215,C123__+1
C127__+1,7.6e-05,C127.1__+1
C127__+1,5.9e-05,C128__+1
C127__+1,0.000109,C129__+1
C127__+1,6.4e-05,C133__+1
C128__+1,5.9e-05,C127__+1
C129__+1,0.000109,C127__+1
C129__+1,0.000144,C130__+1
C130__+1,0.000144,C129__+1
C130__+1,6.6e-05,C131__+1
C131__+1,6.6e-05,C130__+1
C131__+1,0.000122,C132__+1
C132__+1,0.000122,C131__+1
C132__+1,6.3e-05,C137__+1
C133.1__+1,5.4e-05,C133.1__-1
C133.1__+1,5.3e-05,C133__+1
C133.1__+1,5.4e-05,C207__+2
C133.1__-1,3.3e-05,C010__-1
C133.1__-1,5.4e-05,C133.1__+1
C133__+1,6.4e-05,C127__+1
C133__+1,5.3e-05,C133.1__+1
C133__+1,6.2e-05,C134__+1
C133__+1,9.9e-05,C135__+1
C133__+1,9e-05,C136__+1
C133__+1,6.1e-05,C137__+1
C134__+1,6.2e-05,C133__+1
C134__+1,5.4e-05,C207__+2
C135.1__+1,3.3e-05,C135__+1
C135__+1,9.9e-05,C133__+1
C135__+1,3.3e-05,C135.1__+1
C136.1__+1,3.3e-05,C136__+1
C136__+1,9e-05,C133__+1
C136__+1,3.3e-05,C136.1__+1
C137__+1,6.3e-05,C132__+1
C137__+1,6.1e-05,C133__+1
C138__+1,5.4e-05,C212__+2
C138__+1,7.7e-05,G101__+1
C201__+2,0.000247,C202__+2
C201__+2,0.000156,C228__+2
C201__+2,0.000109,C229__+2
C201__+2,9.7e-05,C230__+2
C201__+2,0.000113,C231__+2
C201__+2,0.000153,C232__+2
C201__+2,0.000202,C233__+2
C201__+2,0.000257,C234__+2
C201__+2,0.000249,C236__+2
C201__+2,0.000164,D205__+2
C202__+2,0.000247,C201__+2
C202__+2,0.000218,C203__+2
C202__+2,9.7e-05,C226__+2
C202__+2,0.000114,C227__+2
C203.1__+2,0.000333,A203__+2
C203.1__+2,0.000298,C203__+2
C203.1__+2,0.00011,C204__+2
C203.1__+2,7.4e-05,C205__+2
C203.1__+2,4.7e-05,C206.1__+2
C203.1__+2,0.000107,C207__+2
C203.1__+2,0.000178,C208__+2
C203.1__+2,0.000128,C209.1__+2
C203.1__+2,0.000201,C210__+2
C203.1__+2,0.000265,C211__+2
C203.1__+2,0.000267,C212__+2
C203.1__+2,0.000205,C213__+2
C203__+2,0.000218,C202__+2
C203__+2,0.000298,C203.1__+2
C203__+2,0.000125,C214__+2
C203__+2,0.000102,C218__+2
C203__+2,2.9e-05,C219__+2
C203__+2,8.6e-05,C220__+2
C203__+2,4.7e-05,C222__+2
C203__+2,0.000137,C223__+2
C203__+2,0.000178,C224.1__+2
C203__+2,0.000153,C224__+2
C204__+2,0.00011,C203.1__+2
C204__+2,5.6e-05,C205__+2
C205__+2,7.4e-05,C203.1__+2
C205__+2,5.6e-05,C204__+2
C205__+2,7.5e-05,C206.1__+2
C205__+2,5.3e-05,C206__+2
C206.1__+2,4.7e-05,C203.1__+2
C206.1__+2,7.5e-05,C205__+2
C206__+2,5.3e-05,C205__+2
C207__+2,5.4e-05,C133.1__+1
C207__+2,5.4e-05,C134__+1
C207__+2,0.000107,C203.1__+2
C208__+2,0.000178,C203.1__+2
C209.1__+2,0.000128,C203.1__+2
C209.1__+2,6.3e-05,C209.2__+2
C209.1__+2,8.1e-05,C209__+2
C209.2__+2,6.3e-05,C209.1__+2
C209__+2,8.1e-05,C209.1__+2
C210.1__+2,5e-05,C210__+2
C210__+2,0.000201,C203.1__+2
C210__+2,5e-05,C210.1__+2
C211__+2,0.000265,C203.1__+2
C212__+2,5.4e-05,C138__+1
C212__+2,0.000267,C203.1__+2
C212__+2,6.3e-05,C213__+2
C213__+2,0.000205,C203.1__+2
C213__+2,6.3e-05,C212__+2
C214__+2,0.000125,C203__+2
C214__+2,2.4e-05,C218__+2
C215__+2,6e-05,C218__+2
C217__+2,2.5e-05,C218__+2
C218__+2,0.000102,C203__+2
C218__+2,2.4e-05,C214__+2
C218__+2,6e-05,C215__+2
C218__+2,2.5e-05,C217__+2
C219.1__+2,2.9e-05,C219__+2
C219__+2,2.9e-05,C203__+2
C219__+2,2.9e-05,C219.1__+2
C220__+2,8.6e-05,C203__+2
C222.1__+2,2.8e-05,C222__+2
C222__+2,4.7e-05,C203__+2
C222__+2,2.8e-05,C222.1__+2
C223__+2,0.000137,C203__+2
C224.1__+2,0.000178,C203__+2
C224.1__+2,6e-05,C225__+2
C224__+2,0.000153,C203__+2
C224__+2,6.6e-05,C225__+2
C225__+2,6e-05,C224.1__+2
C225__+2,6.6e-05,C224__+2
C226__+2,9.7e-05,C202__+2
C227__+2,0.000114,C202__+2
C228__+2,0.000156,C201__+2
C229__+2,0.000109,C201__+2
C230__+2,5.4e-05,C110__+1
C230__+2,9.7e-05,C201__+2
C230__+2,5.4e-05,C301__+3
C231__+2,0.000113,C201__+2
C232__+2,0.000153,C201__+2
C233__+2,0.000202,C201__+2
C234__+2,0.000257,C201__+2
C235__+2,0.000159,C236__+2
C236__+2,0.000249,C201__+2
C236__+2,0.000159,C235__+2
C301__+3,5.4e-05,C230__+2
C301__+3,2.5e-05,C302__+3
C302__+3,2.5e-05,C301__+3
C302__+3,9.6e-05,C303__+3
C302__+3,0.000124,C308__+3
C303__+3,9.6e-05,C302__+3
C303__+3,0.000168,C304__+3
C303__+3,0.000102,C305__+3
C303__+3,7.7e-05,C306__+3
C303__+3,7.6e-05,C307__+3
C304__+3,0.000168,C303__+3
C305__+3,0.000102,C303__+3
C306__+3,7.7e-05,C303__+3
C307__+3,7.6e-05,C303__+3
C308__+3,0.000124,C302__+3
C308__+3,7.9e-05,C309__+3
C308__+3,8.1e-05,C310__+3
C308__+3,7.4e-05,C311__+3
C309.1__+3,2.2e-05,C309__+3
C309.2__+3,4.8e-05,C309__+3
C309__+3,7.9e-05,C308__+3
C309__+3,2.2e-05,C309.1__+3
C309__+3,4.8e-05,C309.2__+3
C310__+3,8.1e-05,C308__+3
C311__+3,7.4e-05,C308__+3
D001__+1,5.4e-05,D001__-1
D001__+1,9.1e-05,D102__+1
D001__-1,5.4e-05,D001__+1
D001__-1,0.0001,D002__-1
D002__-1,0.0001,D001__-1
D002__-1,6e-05,D003__-1
D002__-1,9.2e-05,D004__-1
D002__-1,9.4e-05,D006__-1
D002__-1,0.000131,D007__-1
D003.1__-1,6.7e-05,D003__-1
D003__-1,6e-05,D002__-1
D003__-1,6.7e-05,D003.1__-1
D004.1__-1,6e-05,D004__-1
D004.2__-1,4.2e-05,D004__-1
D004__-1,9.2e-05,D002__-1
D004__-1,6e-05,D004.1__-1
D004__-1,4.2e-05,D004.2__-1
D005__-1,3.5e-05,D008__-1
D006__-1,9.4e-05,D002__-1
D006__-1,5.4e-05,D006__-2
D006__-2,5.4e-05,D006__-1
D006__-2,0.000119,D0201__-2
D007__-1,0.000131,D002__-1
D007__-1,5.4e-05,D0205__-2
D007__-1,5.4e-05,D107__+1
D008__-1,3.5e-05,D005__-1
D008__-1,5.4e-05,D008__-2
D008__-1,5e-05,D009__-1
D008__-2,5.4e-05,D008__-1
D008__-2,0.000154,D0201__-2
D009__-1,5e-05,D008__-1
D009__-1,0.000241,D010__-1
D010__-1,0.000241,D009__-1
D0201__-2,0.000119,D006__-2
D0201__-2,0.000154,D008__-2
D0201__-2,8.8e-05,D0202__-2
D0201__-2,0.000129,D0203__-2
D0201__-2,0.000107,D0205__-2
D0201__-2,9.9e-05,D0206__-2
D0201__-2,0.000164,D0207__-2
D0201__-2,0.000103,D0209__-2
D0202__-2,8.8e-05,D0201__-2
D0203__-2,0.000129,D0201__-2
D0205__-2,5.4e-05,D007__-1
D0205__-2,0.000107,D0201__-2
D0206__-2,9.9e-05,D0201__-2
D0207__-2,0.000164,D0201__-2
D0209__-2,0.000103,D0201__-2
D101__+1,6e-05,D102__+1
D101__+1,7.3e-05,extra_528_390__+1
D102__+1,9.1e-05,D001__+1
D102__+1,6e-05,D101__+1
D102__+1,0.000243,D104__+1
D102__+1,0.000164,D105__+1
D102__+1,6.4e-05,D106__+1
D102__+1,0.00012,D107__+1
D102__+1,0.000125,extra_528_390__+1
D104__+1,0.000117,A114__+1
D104__+1,0.000243,D102__+1
D105__+1,0.000164,D102__+1
D106__+1,6.4e-05,D102__+1
D106__+1,5.4e-05,D106__+2
D106__+2,5.4e-05,D106__+1
D106__+2,9.6e-05,D201__+2
D107__+1,5.4e-05,D007__-1
D107__+1,0.00012,D102__+1
D107__+1,5.4e-05,D206__+2
D201__+2,9.6e-05,D106__+2
D201__+2,0.000216,D202__+2
D201__+2,0.000138,D203__+2
D201__+2,0.000158,D204__+2
D201__+2,0.000215,D205__+2
D201__+2,0.000101,D206__+2
D202__+2,0.000193,A225__+2
D202__+2,0.000216,D201__+2
D203__+2,0.000138,D201__+2
D204__+2,0.000158,D201__+2
D205__+2,0.000164,C201__+2
D205__+2,0.000215,D201__+2
D206__+2,5.4e-05,D107__+1
D206__+2,0.000101,D201__+2
E001__-1,0.000164,E026__-1
E002__-1,0.000216,E026__-1
E003__-1,0.000222,E026__-1
E004__-1,0.000215,E026__-1
E005__-1,9.8e-05,E006__-1
E005__-1,0.000225,E026__-1
E006__-1,9.8e-05,E005__-1
E006__-1,0.000133,E026__-1
E007.1__-1,2.2e-05,E007__-1
E007__-1,2.2e-05,E007.1__-1
E007__-1,9.2e-05,E026__-1
E008__-1,4.5e-05,E026__-1
E009__-1,2.2e-05,E022__-1
E009__-1,3.9e-05,E026__-1
E010__-1,7.6e-05,E026__-1
E011__-1,7e-05,E026__-1
E012__-1,0.000151,E026__-1
E013.1__-1,3.3e-05,E013__-1
E013__-1,3.3e-05,E013.1__-1
E013__-1,0.000144,E026__-1
E014.1__-1,3.3e-05,E014__-1
E014__-1,3.3e-05,E014.1__-1
E014__-1,0.000149,E026__-1
E015__-1,0.000202,E026__-1
E016__-1,0.000217,E026__-1
E017__-1,0.000135,E026__-1
E018__-1,9.7e-05,E026__-1
E019__-1,0.000102,E026__-1
E020__-1,0.000126,E026__-1
E022__-1,2.2e-05,E009__-1
E026__-1,0.000164,E001__-1
E026__-1,0.000216,E002__-1
E026__-1,0.000222,E003__-1
E026__-1,0.000215,E004__-1
E026__-1,0.000225,E005__-1
E026__-1,0.000133,E006__-1
E026__-1,9.2e-05,E007__-1
E026__-1,4.5e-05,E008__-1
E026__-1,3.9e-05,E009__-1
E026__-1,7.6e-05,E010__-1
E026__-1,7e-05,E011__-1
E026__-1,0.000151,E012__-1
E026__-1,0.000144,E013__-1
E026__-1,0.000149,E014__-1
E026__-1,0.000202,E015__-1
E026__-1,0.000217,E016__-1
E026__-1,0.000135,E017__-1
E026__-1,9.7e-05,E018__-1
E026__-1,0.000102,E019__-1
E026__-1,0.000126,E020__-1
E102__+1,0.000111,C107__+1
E102__+1,0.000256,E103__+1
E103__+1,0.000256,E102__+1
E103__+1,0.000157,E104__+1
E103__+1,0.000131,E105__+1
E103__+1,0.000256,E106__+1
E103__+1,0.000212,E107__+1
E103__+1,0.000183,E108__+1
E103__+1,0.00013,E112__+1
E103__+1,0.000153,E113__+1
E103__+1,0.0002,E114__+1
E104__+1,0.000157,E103__+1
E105__+1,0.000131,E103__+1
E106__+1,0.000256,E103__+1
E106__+1,4.5e-05,E109__+1
E106__+1,4.8e-05,E110__+1
E107__+1,0.000212,E103__+1
E108__+1,0.000183,E103__+1
E109__+1,4.5e-05,E106__+1
E110__+1,4.8e-05,E106__+1
E112__+1,0.00013,E103__+1
E113__+1,0.000153,E103__+1
E113__+1,4.9e-05,E115__+1
E114__+1,0.0002,E103__+1
E114__+1,4.9e-05,E116__+1
E115__+1,4.9e-05,E113__+1
E116__+1,4.9e-05,E114__+1
F001__+1,5.4e-05,F001__-1
F001__-1,5.4e-05,F001__+1
F001__-1,7e-05,F002__-1
F002__-1,7e-05,F001__-1
F002__-1,7.8e-05,F003__-1
F003__-1,0.000355,C007__-1
F003__-1,7.8e-05,F002__-1
F003__-1,0.00022,F004__-1
F004__-1,0.00022,F003__-1
F004__-1,4.3e-05,F005__-1
F004__-1,5.1e-05,F006__-1
F004__-1,4.5e-05,F007__-1
F005__-1,4.3e-05,F004__-1
F006__-1,5.1e-05,F004__-1
F007__-1,4.5e-05,F004__-1
F101__+1,6.6e-05,F103__+1
F101__+1,0.000221,F109__+1
F101__+1,5.6e-05,F113__+1
F101__+1,0.00013,F118__+1
F101__+1,0.000401,G101__+1
F103__+1,6.6e-05,F101__+1
F103__+1,4e-05,F104__+1
F104__+1,4e-05,F103__+1
F104__+1,5.6e-05,F105__+1
F104__+1,7.4e-05,F106__+1
F104__+1,4.8e-05,F209__+1
F105__+1,5.6e-05,F104__+1
F106__+1,7.4e-05,F104__+1
F106__+1,4.9e-05,F107__+1
F107__+1,4.9e-05,F106__+1
F108.1__+1,6.3e-05,F109__+1
F108.2__+1,4.9e-05,F109__+1
F109__+1,0.000221,F101__+1
F109__+1,6.3e-05,F108.1__+1
F109__+1,4.9e-05,F108.2__+1
F109__+1,4.6e-05,F111__+1
F110__+1,6.3e-05,F111__+1
F111__+1,4.6e-05,F109__+1
F111__+1,6.3e-05,F110__+1
F112__+1,5.4e-05,F113__+1
F113__+1,5.6e-05,F101__+1
F113__+1,5.4e-05,F112__+1
F113__+1,4.5e-05,F115__+1
F113__+1,5.9e-05,F200__+1
F114__+1,5.6e-05,F115__+1
F115__+1,4.5e-05,F113__+1
F115__+1,5.6e-05,F114__+1
F117__+1,5.4e-05,F118__+1
F118__+1,0.00013,F101__+1
F118__+1,5.4e-05,F117__+1
F118__+1,4.5e-05,F120__+1
F118__+1,5.9e-05,F121__+1
F119__+1,5.6e-05,F120__+1
F120__+1,4.5e-05,F118__+1
F120__+1,5.6e-05,F119__+1
F121__+1,5.9e-05,F118__+1
F121__+1,5.4e-05,F219__+2
F121__+2,2.3e-05,F223__+2
F200__+1,5.9e-05,F113__+1
F200__+1,5.4e-05,F200__+2
F200__+2,5.4e-05,F200__+1
F200__+2,5e-05,F202__+2
F201__+2,4.2e-05,F202__+2
F201__+2,4.7e-05,F204__+2
F201__+2,3.5e-05,F205__+2
F202__+2,5e-05,F200__+2
F202__+2,4.2e-05,F201__+2
F202__+2,5.8e-05,F203__+2
F203__+2,5.8e-05,F202__+2
F204__+2,4.7e-05,F201__+2
F205__+2,3.5e-05,F201__+2
F205__+2,4.3e-05,F206__+2
F205__+2,4.5e-05,F207__+2
F205__+2,7.6e-05,F210__+2
F206__+2,4.3e-05,F205__+2
F207__+2,4.5e-05,F205__+2
F207__+2,1.3e-05,F208__+2
F208__+2,1.3e-05,F207__+2
F209__+1,4.8e-05,F104__+1
F209__+1,5.4e-05,F209__+2
F209__+2,5.4e-05,F209__+1
F209__+2,1.3e-05,F210__+2
F210__+2,7.6e-05,F205__+2
F210__+2,1.3e-05,F209__+2
F210__+2,8.9e-05,F211__+2
F210__+2,5.7e-05,F212__+2
F210__+2,7.2e-05,F213__+2
F210__+2,8.3e-05,F214__+2
F211__+2,8.9e-05,F210__+2
F212__+2,5.7e-05,F210__+2
F213__+2,7.2e-05,F210__+2
F214__+2,8.3e-05,F210__+2
F214__+2,6.9e-05,F215__+2
F214__+2,3.2e-05,F218__+2
F215__+2,6.9e-05,F214__+2
F215__+2,6.3e-05,F216__+2
F216__+2,6.3e-05,F215__+2
F216__+2,6e-05,F218__+2
F218__+2,3.2e-05,F214__+2
F218__+2,6e-05,F216__+2
F219__+2,5.4e-05,F121__+1
F219__+2,4.2e-05,F223__+2
F220__+2,6.5e-05,F223__+2
F221__+2,6.1e-05,F223__+2
F222__+2,6.1e-05,F223__+2
F223__+2,2.3e-05,F121__+2
F223__+2,4.2e-05,F219__+2
F223__+2,6.5e-05,F220__+2
F223__+2,6.1e-05,F221__+2
F223__+2,6.1e-05,F222__+2
G001.1__-1,5.2e-05,G001__-1
G001__-1,5.2e-05,G001.1__-1
G002__+1,2.9e-05,G109__+1
G101__+1,0.000299,C108__+1
G101__+1,7.7e-05,C138__+1
G101__+1,0.000401,F101__+1
G101__+1,0.000157,G102__+1
G101__+1,0.00012,G103__+1
G101__+1,3.2e-05,G104__+1
G101__+1,3.5e-05,G105__+1
G101__+1,6.7e-05,G106__+1
G101__+1,0.000118,G107__+1
G101__+1,0.000406,I101.1__+1
G102.1__+1,4.2e-05,G102__+1
G102__+1,0.000157,G101__+1
G102__+1,4.2e-05,G102.1__+1
G103.1__+1,2.1e-05,G103.2__+1
G103.1__+1,4.2e-05,G103__+1
G103.2__+1,2.1e-05,G103.1__+1
G103__+1,0.00012,G101__+1
G103__+1,4.2e-05,G103.1__+1
G104__+1,3.2e-05,G101__+1
G105__+1,3.5e-05,G101__+1
G106__+1,6.7e-05,G101__+1
G106__+1,5.4e-05,G203__+2
G106__+2,7.7e-05,G201__+2
G107__+1,0.000118,G101__+1
G107__+1,0.000142,G108__+1
G107__+1,6.3e-05,G109__+1
G108__+1,0.000142,G107__+1
G109__+1,2.9e-05,G002__+1
G109__+1,6.3e-05,G107__+1
G201__+2,7.7e-05,G106__+2
G201__+2,0.000142,G202__+2
G201__+2,6.7e-05,G203__+2
G202__+2,0.000142,G201__+2
G203__+2,5.4e-05,G106__+1
G203__+2,6.7e-05,G201__+2
I000__+1,5.4e-05,I000__-1
I000__-1,5.4e-05,I000__+1
I000__-1,0.000162,I001__-1
I001__-1,0.000162,I000__-1
I001__-1,0.000269,I002__-1
I001__-1,0.00015,I003__-1
I001__-1,0.000124,I005__-1
I002__-1,0.000269,I001__-1
I003__-1,0.00015,I001__-1
I005__-1,0.000124,I001__-1
I101.1__+1,0.000406,G101__+1
I101.1__+1,0.000417,I101.2__+1
I101.1__+1,0.000399,I102__+1
I101.1__+1,0.000214,I106__+1
I101.1__+1,8.9e-05,I110__+1
I101.1__+1,0.000145,I114__+1
I101.1__+1,0.000223,I118__+1
I101.2__+1,0.000417,I101.1__+1
I101.2__+1,3.1e-05,I101.3__+1
I101.3__+1,3.1e-05,I101.2__+1
I102__+1,0.000399,I101.1__+1
